fecha,AAPL.close,variacion_precio,AAPL.volume,mes,year,dia,mes_year
2023-10-02,173.75,1.014835542237772,52164500,10,2023,275,10-2023
2023-10-03,172.39999389648438,0.9922301806991907,49594600,10,2023,276,10-2023
2023-10-04,173.66000366210938,1.0073086415906811,53020300,10,2023,277,10-2023
2023-10-05,174.91000366210938,1.0071979728989995,48527900,10,2023,278,10-2023
2023-10-06,177.49000549316406,1.014750453244737,57224100,10,2023,279,10-2023
2023-10-09,178.99000549316406,1.0084511800866318,42390800,10,2023,282,10-2023
2023-10-10,178.38999938964844,0.9966478234253222,43698000,10,2023,283,10-2023
2023-10-11,179.8000030517578,1.0079040510506958,47551100,10,2023,284,10-2023
2023-10-12,180.7100067138672,1.005061199369654,56743100,10,2023,285,10-2023
2023-10-13,178.85000610351562,0.9897072627898429,51427100,10,2023,286,10-2023
2023-10-16,178.72000122070312,0.9992731066347448,52517000,10,2023,289,10-2023
2023-10-17,177.14999389648438,0.9912152679414995,57549400,10,2023,290,10-2023
2023-10-18,175.83999633789062,0.9926051504164362,54764400,10,2023,291,10-2023
2023-10-19,175.4600067138672,0.9978390034580457,59302900,10,2023,292,10-2023
2023-10-20,172.8800048828125,0.9852957840400517,64189300,10,2023,293,10-2023
2023-10-23,173,1.0006940948276166,55980100,10,2023,296,10-2023
2023-10-24,173.44000244140625,1.002543366713331,43816600,10,2023,297,10-2023
2023-10-25,171.10000610351562,0.9865083238875002,57157000,10,2023,298,10-2023
2023-10-26,166.88999938964844,0.9753944677750618,70625300,10,2023,299,10-2023
2023-10-27,168.22000122070312,1.0079693321104846,58499100,10,2023,300,10-2023
2023-10-30,170.2899932861328,1.0123052672120354,51131000,10,2023,303,10-2023
2023-10-31,170.77000427246094,1.0028187856318813,44846000,10,2023,304,10-2023
2023-11-01,173.97000122070312,1.0187386359909942,56934900,11,2023,305,11-2023
2023-11-02,177.57000732421875,1.020693257908003,77334800,11,2023,306,11-2023
2023-11-03,176.64999389648438,0.9948188692358696,79763700,11,2023,307,11-2023
2023-11-06,179.22999572753906,1.0146051622994483,63841300,11,2023,310,11-2023
2023-11-07,181.82000732421875,1.0144507708442785,70530000,11,2023,311,11-2023
2023-11-08,182.88999938964844,1.0058848972738281,49340300,11,2023,312,11-2023
2023-11-09,182.41000366210938,0.9973754949470123,53763500,11,2023,313,11-2023
2023-11-10,186.39999389648438,1.0218737468026475,66133400,11,2023,314,11-2023
2023-11-13,184.8000030517578,0.991416357848085,43627500,11,2023,317,11-2023
2023-11-14,187.44000244140625,1.0142857107470342,60108400,11,2023,318,11-2023
2023-11-15,188.00999450683594,1.0030409307405332,53790500,11,2023,319,11-2023
2023-11-16,189.7100067138672,1.009042137421952,54412900,11,2023,320,11-2023
2023-11-17,189.69000244140625,0.9998945534144063,50922700,11,2023,321,11-2023
2023-11-20,191.4499969482422,1.009278267089377,46505100,11,2023,324,11-2023
2023-11-21,190.63999938964844,0.9957691430059791,38134500,11,2023,325,11-2023
2023-11-22,191.30999755859375,1.0035144679557826,39617700,11,2023,326,11-2023
2023-11-24,189.97000122070312,0.9929956805447127,24048300,11,2023,328,11-2023
2023-11-27,189.7899932861328,0.9990524402094351,40552600,11,2023,331,11-2023
2023-11-28,190.39999389648438,1.0032140820482138,38415400,11,2023,332,11-2023
